keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
COCOA_TREE,Cocoa Tree,Árvore de Cacau,Albero di cacao,可可树,코코아 나무,カカオの木,Árbol de cacao,Kakaobaum,Arbre à cacao,Drzewo kakaowe,Kakao Ağacı
COCOA_TREE_DESCRIPTION,+3 {PRODUCTION} if there is only {PLANT_COCOA_TREE} on island,+3 de {PRODUCTION} se só tiver {PLANT_COCOA_TREE} na ilha,+3 {PRODUCTION} se ci sono solo {PLANT_COCOA_TREE} sull'isola,如果岛上只有{PLANT_COCOA_TREE}，则+3 {PRODUCTION},섬에 {PLANT_COCOA_TREE}만 있으면 +3 {PRODUCTION},島に{PLANT_COCOA_TREE}のみがある場合、+3{PRODUCTION},+3 {PRODUCTION} si solo hay {PLANT_COCOA_TREE} en la isla,+3 {PRODUCTION} wenn nur {PLANT_COCOA_TREE} auf der Insel sind,+3 {PRODUCTION} s'il n'y a que des {PLANT_COCOA_TREE} sur l'île,+3 {PRODUCTION} jeśli na wyspie są tylko {PLANT_COCOA_TREE},Adada sadece {PLANT_COCOA_TREE} varsa +3 {PRODUCTION}
APPLE_TREE,Apple Tree,Árvore de Maçã,Albero di mela,苹果树,사과 나무,リンゴの木,Manzano,Apfelbaum,Pommier,Jabłoń ,Elma Ağacı
APPLE_TREE_DESCRIPTION,+1 {PRODUCTION} to itself and {GROUP_COWS} in adjacent islands for each {GROUP_COWS}\n+2 {WATER} cost to each {GROUP_COWS} on adjacent islands,+1 {PRODUCTION} para si e para {GROUP_COWS} em ilhas adjacentes por cada {GROUP_COWS}\n+2 de custo de {WATER} para {GROUP_COWS} em ilhas adjacentes,+1 {PRODUCTION} per sé e per ogni {GROUP_COWS} nelle isole adiacenti\n+2 costo di {WATER} per ogni {GROUP_COWS} nelle isole adiacenti,自身和相邻岛屿的{GROUP_COWS}每个增加+1 {PRODUCTION} \n相邻岛屿的每个{GROUP_COWS}增加+2 {WATER}消耗,같은 섬의 {GROUP_COWS}당 +1 {PRODUCTION} 및 인접한 섬의 {GROUP_COWS}에 +2 {WATER} 비용,自分と隣接する島の{GROUP_COWS}ごとに+1{PRODUCTION}\n隣接する島の{GROUP_COWS}ごとに+2{WATER}コスト,+1 {PRODUCTION} para sí mismo y {GROUP_COWS} en islas adyacentes por cada {GROUP_COWS}\n +2 costo de {WATER} para cada {GROUP_COWS} en islas adyacentes,+1 {PRODUCTION} für sich selbst und {GROUP_COWS} auf benachbarten Inseln für jede {GROUP_COWS}\n +2 {WATER} Kosten für jede {GROUP_COWS} auf benachbarten Inseln,+1 {PRODUCTION} pour lui-même et les {GROUP_COWS} sur les îles adjacentes pour chaque {ANIMAL_COW}\n+2 coût en {WATER} pour chaque {ANIMAL_COW} sur les îles adjacentes,+1 {PRODUCTION} dla siebie i {GROUP_COWS} na sąsiednich wyspach za każdą {GROUP_COWS}\n+2 koszt {WATER} dla każdej {GROUP_COWS} na sąsiednich wyspach,Kendisi ve bitişik adalardaki her {GROUP_COWS} için +1 {PRODUCTION}\nBitişik adalardaki her {GROUP_COWS} için +2 {WATER} maliyeti
PEANUTS,Peanuts,Amendoins,Arachidi,花生,땅콩,ピーナッツ,Cacahuetes,Erdnüsse,Cacahuètes,Orzeszki ziemne,Fıstık
PEANUT,Peanut,Amendoim,Arachide,花生,땅콩,ピーナッツ,Maní,Erdnuss,Cacahuète,Orzech ziemny,Yer Fıstığı
PEANUTS_DESCRIPTION,Turns adjacent island {ANIMAL_COW} into {ANIMAL_PEANUT_COW},Tranforma {ANIMAL_COW} em ilhas adjacentes em {ANIMAL_PEANUT_COW},Trasforma la {ANIMAL_COW} dell'isola adiacente in {ANIMAL_PEANUT_COW},将相邻岛屿的{ANIMAL_COW}转变为{ANIMAL_PEANUT_COW},인접한 섬의 {ANIMAL_COW}를 {ANIMAL_PEANUT_COW}로 변화시킵니다.,隣接する島の{ANIMAL_COW}を{ANIMAL_PEANUT_COW}に変える,Transforma la {ANIMAL_COW} de la isla adyacente en {ANIMAL_PEANUT_COW},Verwandelt benachbarte Insel {ANIMAL_COW} in {ANIMAL_PEANUT_COW},Transforme les {GROUP_COWS} sur les îles adjacentes en {ANIMAL_PEANUT_COW},Zamienia {ANIMAL_COW} na sąsiedniej wyspie w {ANIMAL_PEANUT_COW},Bitişik adadaki {ANIMAL_COW} dönüşür ve {ANIMAL_PEANUT_COW} olur
FUEL_PEANUTS,Fuel Peanuts,Amendopetro,Arachidi combustibili,燃料花生,연료 땅콩,燃料ピーナッツ,Maní de combustible,Treibstoff-Erdnüsse,Cacahuètes combustibles,Orzechy paliwowe,Yakıt Fıstıkları
FUEL_PEANUTS_DESCRIPTION,Produces 3 {FUEL} for every {PRODUCTION}\nAdjacent island {ANIMAL_PEANUT_COW} eat it making it use {FUEL} instead of {WATER},Produz 3 {FUEL} para cada item que produzir\nSe adjacente a {ANIMAL_PEANUT_COW} ela o come assim usando {FUEL} ao invés de {WATER},Produce 3 {FUEL} per ogni {PRODUCTION}\nLe {ANIMAL_PEANUT_COW} dell'isola adiacente la mangiano facendole usare {FUEL} invece di {WATER},每个{PRODUCTION}产生3 {FUEL}\n相邻岛屿的{ANIMAL_PEANUT_COW}吃它，使其使用{FUEL} 而不是{WATER},{PRODUCTION}마다 3 {FUEL} 생산\n인접한 섬의 {ANIMAL_PEANUT_COW}가 먹으면 {FUEL}을 사용하여 {WATER} 대신 사용,{PRODUCTION}ごとに3{FUEL}を生産\n隣接する島の{ANIMAL_PEANUT_COW}が食べると、{WATER}の代わりに{FUEL}を使用する,Produce 3 {FUEL} por cada {PRODUCTION}\n {ANIMAL_PEANUT_COW} de isla adyacente lo consume y usa {FUEL} en lugar de {WATER},Produziert 3 {FUEL} für jede {PRODUCTION}\n Benachbarte Insel {ANIMAL_PEANUT_COW} frisst sie und verwendet {FUEL} anstelle von {WATER},Produit 3 {FUEL} pour chaque {PRODUCTION}\nRemplace la demande en {WATER} des {ANIMAL_PEANUT_COW} des îles adjacentes,"Produkuje 3 {FUEL} za każde {PRODUCTION}\n{ANIMAL_PEANUT_COW} na sąsiedniej wyspie je je, używając {FUEL} zamiast {WATER}","Her {PRODUCTION} için 3 {FUEL} üretir\nBitişik adadaki {ANIMAL_PEANUT_COW} onu yer ve {FUEL} kullanır, {WATER} yerine"
SUNFLOWER,Sunflower,Girassol,Girasole,向日葵,해바라기,ヒマワリ,Girasol,Sonnenblume,Tournesol,Słonecznik,Ayçiçeği
SUNFLOWER_DESCRIPTION,+3 {PRODUCTION} if no {STRUCTURE} in 1 island range\n+1 {PRODUCTION} to adjacent island {PLANTS} that use {ENERGY},+3 de {PRODUCTION} se não houver {STRUCTURE} dentro de 1 ilha de distância\n+1 de {PRODUCTION} para {PLANTS} que usem {ENERGY} em ilhas adjacentes,+3 {PRODUCTION} se non c'è {STRUCTURE} entro 1 raggio di isola\n+1 {PRODUCTION} per le {PLANTS} dell'isola adiacente che usano {ENERGY},如果1个岛屿范围内没有{STRUCTURE}，则+3 {PRODUCTION}\n相邻岛屿使用{ENERGY}的{PLANTS}额外+1 {PRODUCTION},1개의 섬 범위 내에 {STRUCTURE}가 없으면 {PRODUCTION} +3\n{ENERGY}를 사용하는 인접한 섬의 {PLANTS}에게 {PRODUCTION} +1,1つの島の範囲内に{STRUCTURE}がない場合は{PRODUCTION} +3\n隣接する島の{ENERGY}を使用する{PLANTS}に{PRODUCTION} +1,+3 {PRODUCTION} si no hay {STRUCTURE} en el rango de 1 isla\n+1 {PRODUCTION} a las {PLANTS} adyacentes de la isla que usan {ENERGY},"+3 {PRODUCTION}, wenn keine {STRUCTURE} in 1 Inselreichweite\n+1 {PRODUCTION} für benachbarte Insel-{PLANTS}, die {ENERGY} verwenden",+3 de {PRODUCTION} s'il n'y a pas de {STRUCTURE} dans la portée d'1 île\n+1 de {PRODUCTION} aux {PLANTS} de l'île adjacente qui utilisent {ENERGY},"+3 {PRODUCTION}, jeśli w zasięgu 1 wyspy nie ma {STRUCTURE}\n+1 {PRODUCTION} dla sąsiednich wyspowych {PLANTS} wykorzystujących {ENERGY}",1 adalık mesafede {STRUCTURE} yoksa +3 {PRODUCTION}\n{ENERGY} kullanan bitişik adalardaki {PLANTS}'e +1 {PRODUCTION}
GIANT_SUNFLOWER,Giant Sunflower,Girassol Gigante,Girasole gigante,巨大的向日葵,거대한 해바라기,巨大なヒマワリ,Girasol gigante,Riesensonnenblume,Tournesol géant,Wielki słonecznik,Dev Ayçiçeği
GIANT_SUNFLOWER_DESCRIPTION,+1 {PRODUCTION} for every 2 {ENERGY} produced this turn,+1 {PRODUCTION} para cada 2 {ENERGY} produzida nesta rodada,+1 {PRODUCTION} per ogni 2 {ENERGY} prodotta in questo turno,本轮产出每个2 {ENERGY}增加+1 {PRODUCTION},이번 턴에 생산된2 {ENERGY}마다+1 {PRODUCTION},このターンに生産された2{ENERGY}ごとに+1{PRODUCTION},+1 {PRODUCTION} por cada 2{ENERGY} producido en este turno,+1 {PRODUCTION} für jede in diesem Zug produzierte 2{ENERGY},+2 {PRODUCTION} pour chaque {ENERGY} produite ce tour,+1 {PRODUCTION} za każde 2 {ENERGY} wyprodukowane w tej turze,Bu tur üretilen her 2 {ENERGY} için +1 {PRODUCTION}
GIANT_CARROT,Giant Carrot,Cenoura Gigante,Carota gigante,巨大的胡萝卜,거대한 당근,巨大な人参,Zanahoria gigante,Riesenkarotte,Carotte géante,Wielka marchew,Dev Havuç
GIANT_CARROT_DESCRIPTION,+1 {PRODUCTION} for every {PLANT_CARROT} produced in a 2 island range,+1 de {PRODUCTION} para cada {PLANT_CARROT} produzida em um alcance de 3 ilhas,+1 {PRODUCTION} per ogni {PLANT_CARROT} prodotta in un raggio di 2 isole,在2岛范围内每生产一个{PLANT_CARROT}增加+1 {PRODUCTION},2 섬 범위 내에서 생산된 {PLANT_CARROT}마다 +1 {PRODUCTION},2島の範囲内で生産された{PLANT_CARROT}ごとに+1{PRODUCTION},+1 {PRODUCTION} por cada {PLANT_CARROT} producida en un rango de 2 islas,+1 {PRODUCTION} für jede in einem 2-Insel-Bereich produzierte {PLANT_CARROT},La {GIANT_CARROT} reçoit +1 {PRODUCTION} pour chaque {PLANT_CARROT} produite dans un rayon de 2 îles,+1 {PRODUCTION} za każdy {PLANT_CARROT} wyprodukowany w zasięgu 2 wysp,2 ada menzilinde üretilen her {PLANT_CARROT} için +1 {PRODUCTION}
ELECTRIC_SUNFLOWER,Electric Sunflower,Girassol Elétrico,Girasole elettrico,电向日葵,전기 해바라기,電気ヒマワリ,Girasol eléctrico,Elektrische Sonnenblume,Tournesol électrique,Elektryczny słonecznik,Elektrikli Ayçiçeği
ELECTRIC_SUNFLOWER_DESCRIPTION,Produces {ENERGY} equivalent to its {PRODUCTION},Produz {ENERGY} equivalente à sua {PRODUCTION},Produce {ENERGY} equivalente alla sua {PRODUCTION},产生等同于其{PRODUCTION}的{ENERGY},생산량에 해당하는 {ENERGY}를 생산합니다,その{PRODUCTION}に相当する{ENERGY}を生成します,Produce {ENERGY} equivalente a su {PRODUCTION},"Erzeugt {ENERGY}, die seiner {PRODUCTION} entspricht",Produit de l'{ENERGY} équivalente à sa {PRODUCTION},Wytwarza {ENERGY} równowartościową do swojej {PRODUCTION},Üretimine eşdeğer {ENERGY} üretir
SOY,Soy,Soja,Soia,大豆,콩,大豆,Soja,Soja,Soja,Soja,Soya
SOY_DESCRIPTION,If adjacent to {ANIMAL_COW} it eats it giving no bonus,"Se em uma ilha adjacente há uma {ANIMAL_COW}, ela a come sem dar bônus nenhum",Se adiacente a {ANIMAL_COW} la mangia senza dare bonus,如果与{ANIMAL_COW}相邻，吃掉它不给予奖励,{ANIMAL_COW}와 인접하면 아무 보너스 없이 먹습니다.,{ANIMAL_COW}の隣にいると食べられ、ボーナスはなし,Si está junto a {ANIMAL_COW} la consume sin dar bonificación,"Wenn es neben {ANIMAL_COW} liegt, frisst es ohne Bonus",Si adjacent à une {ANIMAL_COW} elle le mange sans bonus,"Jeśli obok {ANIMAL_COW}, je ją bez bonusu",Bitişikte bir {ANIMAL_COW} varsa onu yer ve bonus vermez
PURPLE_CARROT,Purple Carrot,Cenoura Roxa,Carota viola,紫胡萝卜,보라색 당근,紫の人参,Zanahoria morada,Lila Karotte,Carotte violette,Fioletowa marchew,Mor Havuç
PURPLE_CARROT_DESCRIPTION,If fed to a {ANIMAL_CHICKEN} it produces a random effect card,Se alimentado a uma {ANIMAL_CHICKEN} uma carta de efeito aleatório é produzida,Se data a un {ANIMAL_CHICKEN} produce una carta effetto casuale,如果喂给{ANIMAL_CHICKEN}，它会产出一个随机效果卡,{ANIMAL_CHICKEN}에게 주면 무작위 효과 카드 생성,{ANIMAL_CHICKEN}に与えると、ランダムな効果カードを生産する,Si se alimenta a un {ANIMAL_CHICKEN} produce una carta de efecto aleatorio,"Wenn es einem {ANIMAL_CHICKEN} gefüttert wird, erzeugt es eine zufällige Effektkarte",Si nourri à un {ANIMAL_CHICKEN} il produit une carte avec un effet aléatoire,Jeśli podasz to {ANIMAL_CHICKEN} dostajesz losową kartę efektu,Bir {ANIMAL_CHICKEN}'a beslendiğinde rastgele bir etki kartı üretir
MAGICAL_BEANS,Magical Beans,Feijões Mágicos,Fagioli magici,魔法豆,마법의 콩,魔法の豆,Frijoles mágicos,Magische Bohnen,Haricots magiques,Magiczne fasolki,Sihirli Fasulye
MAGICAL_BEANS_DESCRIPTION,"For 10 turns it grows and it's {WATER} cost increases by 10\nIf its {WATER} demand isn't met it is destroyed. After 10 turns, all {ANIMAL_CHICKEN} gives 1 {ITEM_GOLDEN_EGG}","Por 10 turnos cresce e seu custo de {WATER} aumenta em 10\nDestruído se sua demanda de {WATER} não for atendida\nApós 10 rodadas, {ANIMAL_CHICKEN} produz 1 {ITEM_GOLDEN_EGG} extra","Per 10 turni cresce e il suo costo di {WATER} aumenta di 10\nSe non soddisfa il bisogno di {WATER} viene distrutto. Dopo 10 turni, tutti gli {ANIMAL_CHICKEN} danno 1 {ITEM_GOLDEN_EGG}",连续10轮成长，其{WATER}消耗每轮增加10\n如果不满足其{WATER}需求，它将被摧毁。10轮后，所有{ANIMAL_CHICKEN}给出1个{ITEM_GOLDEN_EGG},10턴 동안 성장하고 그것의 {WATER} 비용이 10씩 증가합니다.\n{WATER} 요구사항이 충족되지 않으면 파괴됩니다. 10턴 후 모든 {ANIMAL_CHICKEN}이 1 {ITEM_GOLDEN_EGG} 제공,10ターン成長し、その{WATER}コストが10増加\n{WATER}の要求が満たされない場合、破壊される。10ターン後、すべての{ANIMAL_CHICKEN}が1{ITEM_GOLDEN_EGG}を与える,"Durante 10 turnos crece y su costo de {WATER} aumenta en 10\n Si no se satisface su demanda de {WATER} se destruye. Después de 10 turnos, todos los {ANIMAL_CHICKEN} dan 1 {ITEM_GOLDEN_EGG}","Wächst 10 Runden lang und die {WATER} Kosten erhöhen sich um 10\n Wenn die {WATER} Anforderung nicht erfüllt wird, wird es zerstört. Nach 10 Runden gibt jedes {ANIMAL_CHICKEN} 1 {ITEM_GOLDEN_EGG}","Pendant 10 tours, il pousse et son coût en {WATER} augmente de 10\nSi sa demande en {WATER} n'est pas satisfaite, il est détruit. Après 10 tours, chaque {ANIMAL_CHICKEN} donne 1 {ITEM_GOLDEN_EGG}","Przez 10 tur rośnie, a jej koszt {WATER} wzrasta o 10\nJeśli nie spełnisz wymagań {WATER}, zostanie zniszczona. Po 10 turach, wszystkie {ANIMAL_CHICKEN} dają 1 {ITEM_GOLDEN_EGG}","10 tur boyunca büyür ve {WATER} maliyeti 10 artar\n{WATER} talebi karşılanmazsa yok olur. 10 turdan sonra, tüm {ANIMAL_CHICKEN} 1 {ITEM_GOLDEN_EGG} verir"
BEANSTALK,Beanstalk,Pé de Feijão,Fagiolo rampicante,豆茎,콩나무,豆の茎,Tallo de frijol,Bohnenstange,Haricot magique mûr,Roślina fasolkowa,Fasulye Sırığı
BEANSTALK_DESCRIPTION,"Final stage of {PLANT_MAGICAL_BEANS},every {ANIMAL_CHICKEN} gives +1 {ITEM_GOLDEN_EGG}","Estágio final de {PLANT_MAGICAL_BEANS}, toda {ANIMAL_CHICKEN} produzem +1 {ITEM_GOLDEN_EGG}","Stadio finale dei {PLANT_MAGICAL_BEANS}, ogni {ANIMAL_CHICKEN} dà +1 {ITEM_GOLDEN_EGG}",{PLANT_MAGICAL_BEANS}的最终阶段，每个{ANIMAL_CHICKEN}给出+1 {ITEM_GOLDEN_EGG},"{PLANT_MAGICAL_BEANS}의 최종 단계, 모든 {ANIMAL_CHICKEN}이 +1 {ITEM_GOLDEN_EGG} 제공",{PLANT_MAGICAL_BEANS}の最終段階、すべての{ANIMAL_CHICKEN}が+1{ITEM_GOLDEN_EGG}を与える,"Etapa final de {PLANT_MAGICAL_BEANS}, cada {ANIMAL_CHICKEN} otorga +1 {ITEM_GOLDEN_EGG}","Endstadium von {PLANT_MAGICAL_BEANS}, jedes {ANIMAL_CHICKEN} gibt +1 {ITEM_GOLDEN_EGG}","Dernière étape des {PLANT_MAGICAL_BEANS}, chaque {ANIMAL_CHICKEN} donne +1 {ITEM_GOLDEN_EGG}","Ostateczna postać {PLANT_MAGICAL_BEANS}, każdy {ANIMAL_CHICKEN} daje +1 {ITEM_GOLDEN_EGG}","{PLANT_MAGICAL_BEANS}'in son aşaması, her {ANIMAL_CHICKEN} için +1 {ITEM_GOLDEN_EGG} verir"
BEANS,Beans,Feijão,Fagioli,豆类,콩,豆,Frijoles,Bohnen,Haricots,Fasolki,Fasulye
BEANS_DESCRIPTION,+1 {PRODUCTION} and +1 {WATER} cost to {PLANTS} on same island,+1 {PRODUCTION} e +1 custo de {WATER} para {PLANTS} na mesma ilha,+1 {PRODUCTION} e +1 costo di {WATER} per le {PLANTS} sulla stessa isola,相同岛屿的{PLANTS}每个增加+1 {PRODUCTION} 和+1 {WATER}消耗,같은 섬의 {PLANTS}에게 +1 {PRODUCTION} 및 +1 {WATER} 비용,同じ島の{PLANTS}に+1{PRODUCTION}と+1{WATER}コスト,+1 {PRODUCTION} y +1 costo de {WATER} para {PLANTS} en la misma isla,+1 {PRODUCTION} und +1 {WATER} Kosten für {PLANTS} auf derselben Insel,+1 {PRODUCTION} et +1 coût en {WATER} pour les {PLANTS} sur la même île,+1 {PRODUCTION} i +1 koszt {WATER} dla {PLANTS} na tej samej wyspie,Aynı adadaki {PLANTS} için +1 {PRODUCTION} ve +1 {WATER} maliyeti
CARNIVORE_PLANT,Carnivore Plant,Planta Carnívora,Pianta carnivora,食肉植物,육식 식물,肉食植物,Planta carnívora,Fleischfressende Pflanze,Plante carnivore,Roślina mięsożerna,Etçil Bitki
CARNIVORE_PLANT_DESCRIPTION,Sacrifices a {ANIMAL} in adjacent islands giving 20x it's {WATER} cost as {GOLD},Sacrifica um {ANIMAL} em ilhas adjacentes dando 20x seu custo de {WATER} em {GOLD} ,Sacrifica un {ANIMAL} nelle isole adiacenti dando 20 volte il suo costo in {WATER} come {GOLD},在相邻岛屿献祭一个{ANIMAL}，获得其20倍{WATER}消耗的{GOLD},인접한 섬의 {ANIMAL}을 희생하여 그것의 {WATER} 비용의 20배인 {GOLD} 획득,隣接する島の{ANIMAL}を犠牲にして、その{WATER}コストの20倍の{GOLD}を得る,Sacrifica un {ANIMAL} en islas adyacentes otorgando 20x su costo de {WATER} en {GOLD},Opfert ein {ANIMAL} auf benachbarten Inseln und gibt 20x seine {WATER} Kosten als {GOLD},Sacrifie un {ANIMAL} sur les îles adjacentes en donnant 20 fois son coût en {WATER} comme {GOLD},Ofiarowuje {ANIMAL} na sąsiednich wyspach dając 20x jego koszt {WATER} jako {GOLD},Bitişik adalardaki bir {ANIMAL} feda eder ve onun {WATER} maliyetinin 20 katı kadar {GOLD} verir
CORN,Corn,Milho,Mais,玉米,옥수수,コーン,Maíz,Mais,Maïs,Kukurydza,Mısır
